CCBASIC,CCUGPROF,HIGHDEG,CCSIZSET,CONTROL,CURROPER,INSTNM,INSTURL
-2,-2,1,-2,3,1,Eastern College of Health Vocations-Little Rock,www.easterncollege.edu
-2,-2,1,-2,3,1,Imagine-Paul Mitchell Partner School,paulmitchell.edu/littlerock
7,2,2,2,1,1,National Park College,www.np.edu
7,2,2,2,1,1,University of Arkansas Community College-Batesville,www.uaccb.edu
17,14,4,14,2,1,Harding University,www.harding.edu
19,13,4,11,1,1,Henderson State University,www.hsu.edu
21,14,4,11,2,1,Hendrix College,www.hendrix.edu
-2,-2,1,-2,3,1,Hot Springs Beauty College,hotspringsbeautycollege.com
-2,-2,2,-2,2,1,Jefferson Regional Medical Center School of Nursing,www.jrmc.org
19,15,4,11,2,1,John Brown University,www.jbu.edu
-2,-2,1,-2,3,1,Career Academy of Hair Design,www.beautynwa.com
-2,-2,1,-2,3,1,Academy of Salon and Spa,www.academysalonspa.com
3,1,2,2,1,1,Arkansas State University Mid-South,www.asumidsouth.edu
9,1,2,2,1,1,Arkansas Northeastern College,www.anc.edu
-2,-2,1,-2,3,1,New Tyler Barber College Inc,newtylerbarbercollege.edu
4,2,2,2,1,1,North Arkansas College,www.northark.edu
-2,-2,1,-2,1,1,Northwest Technical Institute,www.nwti.edu
22,12,3,11,2,1,Ouachita Baptist University,www.obu.edu
9,1,2,2,1,1,College of the Ouachitas,www.coto.edu
8,2,2,2,1,1,Ozarka College,www.ozarka.edu
22,10,3,8,2,1,University of the Ozarks,https://www.ozarks.edu
4,2,2,2,1,1,University of Arkansas Community College-Morrilton,www.uaccm.edu
22,10,3,8,2,1,Philander Smith College,https://www.philander.edu
6,1,2,2,1,1,Phillips Community College of the University of Arkansas,www.pccua.edu
1,2,2,2,1,1,Southeast Arkansas College,www.seark.edu
-2,-2,1,-2,3,1,Professional Cosmetology Education Center,www.pcec.edu
1,2,2,3,1,1,University of Arkansas-Pulaski Technical College,www.uaptc.edu
4,2,2,2,1,1,University of Arkansas Community College-Hope,www.uacch.edu
6,1,2,2,1,1,University of Arkansas Community College Rich Mountain,www.uarichmountain.edu
-2,-2,1,-2,3,1,Paul Mitchell the School-Arkansas,https://paulmitchell.edu/arkansas/
-2,-2,1,-2,3,1,Searcy Beauty College,searcybeautycollege.com/
2,3,2,1,2,1,Shorter College,www.shortercollege.edu
21,13,3,8,2,1,Williams Baptist University,https://williamsbaptistuniversity.com/
5,2,2,2,1,1,South Arkansas Community College,www.southark.edu
18,12,4,14,1,1,Southern Arkansas University Main Campus,https://www.saumag.edu
9,2,2,2,1,1,Southern Arkansas University Tech,www.sautech.edu
-2,-2,1,-2,3,1,Velvatex College of Beauty Culture,www.velvatexcollege.com
22,11,4,12,1,1,University of Arkansas-Fort Smith,uafs.edu/
18,5,4,12,3,1,Academy of Art University,www.academyart.edu
26,0,4,18,2,1,Academy of Chinese Culture and Health Sciences,www.acchs.edu
-2,-2,1,-2,3,0,The Academy of Radio and TV Broadcasting,WWW.ARBRADIO.COM
-2,-2,1,-2,3,1,Avalon School of Cosmetology-Alameda,avalon.edu/locations/alameda-ca/
2,1,2,3,1,1,College of Alameda,alameda.peralta.edu/
2,1,2,4,1,1,Allan Hancock College,www.hancockcollege.edu/
12,4,2,1,2,1,American Academy of Dramatic Arts-Los Angeles,www.aada.edu
24,0,4,18,2,1,American Baptist Seminary of the West,www.absw.edu
30,0,4,18,2,1,American Film Institute Conservatory,www.AFI.com
-2,-2,1,-2,3,1,American Beauty College,www.americanbeautycollege.com
10,4,2,2,3,1,American Career College-Los Angeles,americancareercollege.edu
30,0,4,6,2,1,American Conservatory Theater,www.act-sf.org
4,1,2,5,1,1,American River College,www.arc.losrios.edu/
14,5,2,12,1,1,Antelope Valley College,www.avc.edu
30,13,4,9,2,1,Art Center College of Design,www.artcenter.edu
-2,-2,1,-2,3,1,Associated Technical College-Los Angeles,www.atcla.edu
-2,-2,1,-2,3,1,Associated Technical College-San Diego,www.atcsd.edu
16,13,4,14,2,1,Azusa Pacific University,www.apu.edu
14,5,3,15,1,1,Bakersfield College,www.bakersfieldcollege.edu/
7,2,2,2,1,1,Barstow Community College,www.barstow.edu
-2,-2,1,-2,3,1,Bellus Academy-Chula Vista,www.bellusacademy.edu
24,10,4,6,2,1,Bethesda University,www.buc.edu
17,13,4,14,2,1,Biola University,https://www.biola.edu
-2,-2,1,-2,3,1,Brownson Technical School,www.brownson.edu
26,11,3,9,3,1,Bryan University,bryanuniversity.edu
7,2,2,4,1,1,Butte College,www.butte.edu
17,11,4,9,2,1,California Institute of Integral Studies,www.ciis.edu
1,1,2,4,1,1,Cabrillo College,www.cabrillo.edu
18,13,4,13,2,1,California Baptist University,www.calbaptist.edu
30,13,4,10,2,1,California College of the Arts,www.cca.edu
31,0,4,18,1,1,University of California-Hastings College of Law,www.uchastings.edu
15,14,4,11,2,1,California Institute of Technology,www.caltech.edu
18,13,4,13,2,1,California Lutheran University,www.callutheran.edu/
18,14,4,16,1,1,California Polytechnic State University-San Luis Obispo,calpoly.edu
17,5,4,9,3,1,Alliant International University-San Diego,www.alliant.edu
18,13,4,12,1,1,California State University-Bakersfield,www.csub.edu
18,13,4,12,1,1,California State University-Stanislaus,https://www.csustan.edu
18,11,4,15,1,1,California State University-San Bernardino,www.csusb.edu
18,13,4,15,1,1,California State Polytechnic University-Pomona,www.cpp.edu
18,13,4,15,1,1,California State University-Chico,www.csuchico.edu
18,9,4,15,1,1,California State University-Dominguez Hills,https://www.csudh.edu
17,11,4,15,1,1,California State University-Fresno,www.fresnostate.edu/
18,13,4,15,1,1,California State University-Fullerton,www.fullerton.edu
18,13,4,15,1,1,California State University-East Bay,www.csueastbay.edu
18,13,4,15,1,1,California State University-Long Beach,www.csulb.edu
18,11,4,15,1,1,California State University-Los Angeles,www.calstatela.edu
18,11,4,15,1,1,California State University-Northridge,https://www.csun.edu
18,11,4,15,1,1,California State University-Sacramento,www.csus.edu
15,15,4,16,1,1,University of California-Berkeley,www.berkeley.edu
15,15,4,15,1,1,University of California-Davis,www.ucdavis.edu
